lon,lat,lzprod,szprod,dfbot,photic,depth,Tb,Tm,Tp
0.5,-69.5,10.26555369,33.63696699,65.76106631,225.0062387,1965.316281,0.07,0.467047619,-1.4693
0.5,-68.5,0.555775043,8.536035048,1.97332531,244.4466632,4127.58624,-0.266,0.458428571,-1.3838
0.5,-67.5,0.498402817,8.549377394,1.68802764,224.69717,4520.94997,-0.292,0.440761905,-1.3293
0.5,-66.5,0.520154233,9.925008466,2.35233872,203.1432976,3843.607399,-0.314,0.412857143,-1.30445
0.5,-65.5,0.542785498,10.57806832,2.96434206,227.8325441,3286.541252,-0.278,0.371285714,-1.31665
0.5,-64.5,0.561735333,9.100857716,2.3867505,223.694184,3986.337725,-0.409,0.316809524,-1.35195
0.5,-63.5,0.582858764,5.111788031,1.21739311,221.2204269,5235.117729,-0.402,0.257047619,-1.3943
0.5,-62.5,0.496496421,4.593603815,1.13226737,217.9323601,5327.44564,-0.403,0.203857143,-1.4087
0.5,-61.5,0.432761102,5.029690544,1.14579496,252.6303664,5369.829806,-0.372,0.170047619,-1.382
0.5,-60.5,0.408896166,5.153503385,1.13958388,241.7592741,5377.335796,-0.372,0.167047619,-1.31005
0.5,-59.5,0.423776246,5.607992869,1.29598001,249.6124672,5088.301875,-0.402,0.207,-1.19565
0.5,-58.5,0.508711889,7.219685679,1.65923035,217.5200393,4437.53087,-0.435,0.298619048,-1.05465
0.5,-57.5,0.611148354,8.175545959,1.89719209,204.8608036,4030.487654,-0.369,0.442095238,-0.8884
0.5,-56.5,0.773504542,9.416152865,2.17318316,213.3687602,3835.638768,-0.3,0.626571429,-0.68435
0.5,-55.5,1.310709657,10.76559965,2.69159899,208.4611883,3487.964934,-0.226,0.831857143,-0.40165
0.5,-54.5,1.999921566,11.80388496,4.47346611,211.6317853,2202.844149,0.357,1.048238095,0.0074
0.5,-53.5,2.321082336,12.82863865,3.52679436,222.5721633,2549.835984,0.26,1.282761905,0.57005
0.5,-52.5,2.780326041,13.56665374,3.42291516,218.2667258,2645.286282,0.387,1.537238095,1.2775
0.5,-51.5,4.579558521,14.39151135,4.54542566,214.1887999,2308.660034,0.933,1.805857143,2.09055
0.5,-50.5,8.169006609,18.00196907,4.52326526,208.1961497,2978.944298,0.491,2.066952381,2.9565
0.5,-49.5,11.51139782,19.82594607,3.91585591,205.599074,3841.347773,0.469,2.292904762,3.82415
0.5,-48.5,12.58145364,21.00291268,4.08010681,208.0438991,3806.886855,0.585,2.472428571,4.667
0.5,-47.5,15.12626515,21.2811664,4.26303503,206.9406795,3889.435809,0.645,2.620047619,5.50725
0.5,-46.5,16.4472655,23.32539482,4.34290696,199.7845256,4071.765671,0.743,2.767380952,6.4163
0.5,-45.5,17.96668306,24.83349304,4.92258665,191.4223863,3921.027125,0.892,2.938,7.442
0.5,-44.5,20.37543413,27.27702835,5.34246864,191.6278945,4198.501644,1.012,3.125238095,8.53095
0.5,-43.5,23.64026127,34.25444336,6.70560438,188.3151106,4215.011058,1.051,3.297666667,9.54515
0.5,-42.5,30.64618448,48.19846363,27.27202282,186.1330454,2737.414773,2.618,3.428142857,10.38775
0.5,-41.5,46.69127699,78.87448869,46.55586062,183.6521756,2888.430677,2.648,3.519761905,11.09705
0.5,-40.5,37.71520225,55.8763284,7.89543446,175.795111,4506.323736,1.051,3.605428571,11.81345
0.5,-39.5,32.28168177,43.07321611,6.77830614,171.938043,4978.174181,1.114,3.721,12.6478
0.5,-38.5,29.85855279,38.90948886,6.38948154,179.7401592,5052.276326,1.081,3.881142857,13.61065
0.5,-37.5,27.83442622,35.25632398,6.27396047,183.7375859,5020.243766,1.072,4.074428571,14.6251
0.5,-36.5,25.19806832,32.53171005,6.18614042,191.4818834,4939.055071,1.115,4.278095238,15.59195
0.5,-35.5,21.41606297,31.91907696,6.29603617,211.1596061,4806.718894,1.165,4.470380952,16.4402
0.5,-34.5,19.98233453,32.61260204,7.07991718,226.6437543,4269.984124,1.148,4.634619048,17.1388
0.5,-33.5,19.43107246,33.15428176,6.97232087,233.3501444,4383.155468,1.031,4.756095238,17.6825
0.5,-32.5,19.17297084,33.19122882,7.40302395,244.5473655,4054.638585,1.059,4.818714286,18.08925
0.5,-31.5,19.33462797,31.9643724,7.55192588,247.5734864,4161.940323,1.217,4.811952381,18.3955
0.5,-30.5,19.66383801,30.82079242,8.43292241,252.631575,2882.609598,2.408,4.741952381,18.6462
0.5,-29.5,21.66803795,30.91485869,8.25298865,269.0595401,3815.893418,2.365,4.634714286,18.8715
0.5,-28.5,24.78859062,32.23301422,8.22480463,273.6108152,4424.520179,2.386,4.525428571,19.0851
0.5,-27.5,28.46126292,33.6434322,8.72930406,274.8528355,4681.618581,2.47,4.440857143,19.2872
0.5,-26.5,40.1277761,38.91220929,10.12882356,281.6849181,4809.970209,2.477,4.386333333,19.47785
0.5,-25.5,47.35587603,42.52663992,10.35828637,281.8868414,5121.94905,2.509,4.352714286,19.6526
0.5,-24.5,57.93902767,47.1483994,11.57955857,290.1858847,5128.040616,2.505,4.330142857,19.8055
0.5,-23.5,69.66806934,52.91215047,12.66951545,277.7566717,5266.455411,2.506,4.314809524,19.9309
0.5,-22.5,78.5698273,56.32085921,12.7532155,271.2206117,5386.835938,2.504,4.307761905,20.0254
0.5,-21.5,88.45187242,60.76791449,14.01702845,263.2174633,5410.831712,2.504,4.310809524,20.0893
0.5,-20.5,104.1874963,68.22889646,15.0361217,246.1179045,5342.630717,2.5,4.324333333,20.12715
0.5,-19.5,124.8650211,76.32378212,16.44765336,223.4878925,5230.763662,2.495,4.349619048,20.1499
0.5,-18.5,140.6590939,85.24905742,16.94114624,221.6531597,5160.740297,2.451,4.386904762,20.16925
0.5,-17.5,149.4649115,91.1427482,16.6334381,211.8513121,5350.140474,2.473,4.433809524,20.19205
0.5,-16.5,150.8242104,93.45446658,16.71658593,205.6172131,5285.285955,2.466,4.486142857,20.23205
0.5,-15.5,137.685993,92.81276763,16.01814369,201.5815664,5186.084146,2.466,4.53952381,20.31255
0.5,-14.5,108.3063403,77.23217432,14.3829914,206.0422073,5269.372452,2.458,4.591238095,20.4398
0.5,-13.5,114.1726335,75.9390646,13.92523388,215.8856347,5456.342295,2.466,4.639714286,20.59875
0.5,-12.5,134.2166851,90.50439565,15.33828218,244.5320592,5465.354463,2.459,4.68352381,20.7496
0.5,-11.5,136.1261224,95.33710699,15.46880156,256.6277548,5476.586748,2.452,4.721190476,20.85695
0.5,-10.5,138.2036151,99.68649152,15.7522038,252.2103504,5482.218765,2.449,4.752,20.9011
0.5,-9.5,132.3248925,98.52783676,21.47209236,216.4259197,4841.618734,2.442,4.776238095,20.88135
0.5,-8.5,125.5801398,100.1591223,17.76921377,203.8497599,4903.766655,2.443,4.794380952,20.808
0.5,-7.5,122.6023764,97.35302193,20.68238114,181.7128434,4701.300299,2.433,4.808238095,20.6887
0.5,-6.5,112.8234123,91.2521646,22.39361412,167.9117185,4096.100736,2.353,4.82,20.5313
0.5,-5.5,104.6423376,81.0715578,20.49923834,148.4458734,4118.701497,2.368,4.832904762,20.36085
0.5,-4.5,109.0383352,80.80102232,16.80973622,153.3567865,4573.767258,2.276,4.848761905,20.23415
0.5,-3.5,115.1431053,86.2418203,18.38645545,152.1155173,4018.136471,2.27,4.868761905,20.2272
0.5,-2.5,122.8770241,95.21467539,19.69550282,165.9504993,4355.416474,2.228,4.892904762,20.3942
0.5,-1.5,127.0369369,102.7886481,19.98992378,164.5762789,4484.261619,2.221,4.919619048,20.73045
0.5,-0.5,129.4366804,112.0033669,20.46200738,175.5534059,4758.852773,2.21,4.946714286,21.17605
0.5,0.5,126.7087117,111.6686838,20.32478916,208.0272269,4849.825996,2.013,4.972333333,21.6405
0.5,1.5,138.8735213,103.8187868,20.54996194,222.2879618,4823.543301,2.216,4.995761905,22.033
0.5,2.5,156.7457422,100.9759791,21.25948119,186.9692271,4726.527817,2.159,5.016285714,22.2897
0.5,3.5,165.3395664,101.7141394,21.50378192,199.7454245,4573.513574,2.208,5.034428571,22.41245
0.5,4.5,247.439984,141.7286017,27.22780694,176.5338456,3884.569092,2.349,5.048047619,22.51875
0.5,36.5,56.40073915,59.5801259,51.4100675,180.9219853,1983.226867,13.273,13.16280952,16.31495
0.5,37.5,27.65702982,36.60137254,12.48267328,190.6317268,2442.802651,13.314,13.12428571,16.22515
0.5,38.5,20.06565852,31.1501105,55.74562548,192.8173619,631.0970252,13.339,13.339,16.0301
0.5,39.5,23.62497744,35.67311166,71.77038984,188.2282201,632.0772117,13.3,13.3,15.85375
0.5,50.5,138.8958514,77.28502944,391.9999114,99.99385729,40.98153113,12.797,NA,12.71190909
0.5,54.5,104.6800506,60.1454272,319.8299696,111.160246,56.19026839,8.162,NA,9.572333333
0.5,55.5,92.16392287,58.97833713,307.633577,139.9945433,71.20922979,8.049,NA,9.2599375
0.5,56.5,96.86714275,66.57275298,308.6321131,135.3950875,95.59969266,7.816,NA,8.8735
0.5,57.5,87.50840971,73.29512588,299.2857557,137.0158666,121.1461499,7.861,NA,8.86325
0.5,58.5,62.30150347,59.22089439,243.0374004,139.1245962,149.0570647,7.501,NA,9.01045
0.5,59.5,65.79755618,72.73479015,291.4007047,148.0300356,128.8291501,8.051,NA,9.18925
0.5,60.5,61.28174763,104.0865416,359.702125,143.4944127,129.6843348,8.512,NA,9.4075
0.5,61.5,47.422161,98.01690096,324.0309488,129.7012035,157.8231759,7.924,NA,9.64075
0.5,62.5,42.57648274,75.441134,44.33626031,137.8730611,838.3949584,-0.469,-0.022625,8.8849
0.5,63.5,40.14481523,64.84741078,10.27964619,138.2856576,1855.146515,-0.803,-0.374714286,8.3118
0.5,64.5,31.77098708,47.72551292,6.95827222,135.9781292,2582.870889,-0.833,-0.359904762,7.8454
0.5,65.5,30.20992916,37.37201517,5.52932348,141.6739238,2903.338161,-0.857,-0.319142857,7.5017
0.5,66.5,31.84263477,41.60661053,5.74151669,148.9813736,3199.380902,-0.766,-0.228619048,7.2759
0.5,67.5,27.69070002,34.93066421,4.92086817,150.7853766,3357.18572,-0.741,-0.083047619,7.09695
0.5,68.5,22.02677346,31.27836738,4.56343948,160.9920132,2791.501499,-0.807,0.079857143,6.83535
0.5,69.5,17.24584302,32.73330038,4.6411163,163.0399003,3187.497955,-0.771,0.184095238,6.3478
0.5,70.5,15.51148531,31.38835034,4.66621323,159.9406396,3089.012417,-0.749,0.164761905,5.5506
0.5,71.5,12.03755752,25.8411029,3.94038135,170.7084082,2678.695913,-0.798,0.019380952,4.48995
0.5,72.5,8.899222172,20.25289694,3.12179141,160.4153398,2418.052896,-0.803,-0.186,3.3609
0.5,73.5,6.745387237,13.08588211,2.16379669,164.6454969,2961.141776,-0.884,-0.365714286,2.4219
0.5,74.5,5.5622769,11.29509891,1.86423791,147.0130259,3488.268229,-0.891,-0.468285714,1.852
0.5,75.5,7.631555829,18.63634479,2.72469816,143.7047793,2855.777477,-0.871,-0.490904762,1.63985
0.5,76.5,8.942398008,24.00254366,3.5322276,153.0697758,3134.985105,-0.87,-0.454761905,1.6317
0.5,77.5,9.367857539,22.9379979,3.70378475,164.659292,3133.684756,-0.853,-0.386,1.63415
0.5,78.5,7.735517174,16.40468107,3.22047665,173.9360295,2554.114199,-0.859,-0.30747619,1.45215
0.5,79.5,5.909269462,10.89936988,2.62726137,175.2783932,2766.141033,-0.79,-0.23747619,1.0343
0.5,80.5,1.710399169,2.891151818,1.49698796,257.303475,2844.638055,-0.684,-0.189761905,0.40695
0.5,81.5,0.319252958,0.576905205,0.82807483,403.0292697,2201.975339,-0.76,-0.171809524,-0.3137
1.5,-69.5,9.815275966,33.71193275,38.7355923,219.4017811,2357.813334,0.109,0.451095238,-1.4924
1.5,-68.5,0.56049712,8.628078181,1.93367973,238.314895,4242.394491,-0.268,0.448761905,-1.3934
1.5,-67.5,0.508958317,9.067699653,1.75547197,208.3508727,4498.41706,-0.287,0.438047619,-1.32375
1.5,-66.5,0.510527783,10.16638648,2.27092084,226.8583659,3942.797863,-0.273,0.414238095,-1.2892
1.5,-65.5,0.570434299,11.01797716,3.32105042,254.7950317,2925.459333,-0.183,0.374238095,-1.29785
1.5,-64.5,0.591773492,10.80876201,3.63281832,254.7013771,2854.832384,-0.292,0.319952381,-1.33465
1.5,-63.5,0.584793743,5.757813938,1.46015361,202.2360649,4952.238619,-0.398,0.259619048,-1.374
1.5,-62.5,0.518390985,4.654920428,1.14334214,198.0773536,5327.701516,-0.403,0.204666667,-1.39375
1.5,-61.5,0.436942405,5.084327715,1.1558117,213.5562402,5364.644306,-0.373,0.167285714,-1.37055
1.5,-60.5,0.405449081,5.396767361,1.17790316,243.883117,5363.308767,-0.373,0.158428571,-1.30395
1.5,-59.5,0.426251849,5.886795271,1.32925915,241.1848633,5052.2353,-0.402,0.188904762,-1.198
1.5,-58.5,0.492219747,7.00245447,1.67957252,230.1845525,4435.975335,-0.451,0.269428571,-1.06355
1.5,-57.5,0.574613402,8.145394184,1.94351975,238.5764465,4055.00631,-0.37,0.402809524,-0.9056
1.5,-56.5,0.742357874,9.317316297,2.02690014,211.61594,4112.142045,-0.325,0.581285714,-0.7074
1.5,-55.5,1.256411051,10.98836342,2.66362046,216.8431721,3578.830256,-0.244,0.787428571,-0.4263
1.5,-54.5,1.752436518,11.58581397,3.3623263,222.6993844,2944.322121,-0.061,1.011857143,-0.012
1.5,-53.5,2.338420424,12.29139638,3.4790203,218.8368238,2589.007731,0.224,1.274571429,0.56275
1.5,-52.5,2.692304097,12.4177495,3.37942387,212.8223015,2619.075909,0.355,1.554190476,1.2871
1.5,-51.5,4.170168856,14.05859418,4.65553076,215.784316,2695.948397,0.491,1.836857143,2.11255
1.5,-50.5,8.841989537,18.03728451,4.17298154,194.3143319,3295.390581,0.503,2.099095238,2.98035
1.5,-49.5,12.29428626,19.79240538,3.95582721,211.8516678,3866.398319,0.482,2.318,3.8424
1.5,-48.5,13.20708308,20.92401576,3.9980893,213.2673137,3963.327949,0.587,2.489190476,4.6806
1.5,-47.5,15.29940873,21.34306063,4.09667976,208.1458042,4046.407853,0.693,2.631714286,5.52085
1.5,-46.5,16.46304033,23.10786591,4.18101318,208.4506977,4250.057118,0.772,2.777571429,6.4262
1.5,-45.5,17.87049418,24.65024123,4.65094541,188.7419959,4192.636339,0.821,2.947333333,7.439
1.5,-44.5,20.55248141,26.8777646,4.95525011,190.7264465,4489.469512,0.98,3.132380952,8.5062
1.5,-43.5,24.08274847,34.23074499,10.56213247,190.0106671,4048.822706,0.985,3.301047619,9.4987
1.5,-42.5,28.9729376,44.18824626,11.82850812,186.810236,3352.562904,1.278,3.428380952,10.33125
1.5,-41.5,42.32545327,64.06198866,26.80927856,185.4073277,2844.634785,1.014,3.520142857,11.04855
1.5,-40.5,40.14708955,53.36985698,7.58286338,177.5463815,4684.432392,1.074,3.61047619,11.7868
1.5,-39.5,35.08105942,42.18374115,6.757354,172.7766551,4974.334131,1.127,3.734095238,12.64705
1.5,-38.5,30.00931862,38.30914864,6.19537737,176.6213608,5127.477167,1.091,3.902904762,13.6307
